"연번","서ㆍ센터ID","서ㆍ센터명","유형구분명","도서지역포함여부","상위서ㆍ센터ID","일련번호","X좌표","Y좌표"
"1","1116000","관악소방서","소방서"," ","1100000","43","195785.50152000","541613.17988900"
"2","1114103","영동119안전센터","안전센터/구조대"," ","1114000","44","203265.81145800","546962.39978600"
"3","1116401","관악119안전센터","안전센터/구조대"," ","1116000","45","195784.87841200","541621.21032600"
"4","1119106","시흥119안전센터","안전센터/구조대"," ","1119000","46","191196.72114800","538802.57141300"
"5","1115102","방배119안전센터","안전센터/구조대"," ","1115000","47","198957.09600000","541787.00100000"
"6","1115105","잠원119안전센터","안전센터/구조대"," ","1115000","48","201028.56400000","544400.94500000"
"7","1116402","구조대","안전센터/구조대"," ","1116000","49","195787.34536000","541603.89000600"
"8","1116104","난곡119안전센터","안전센터/구조대"," ","1116000","50","192577.70921400","541810.02130600"
"9","1119105","독산119안전센터","안전센터/구조대"," ","1119000","51","190995.08336300","540948.68616300"
"10","1103106","신영119안전센터","안전센터/구조대"," ","1103000","52","196541.31728700","556245.85926700"
"11","1115000","서초소방서","소방서"," ","1100000","53","199288.37585400","544328.95152000"
"12","1108102","여의도119안전센터","안전센터/구조대"," ","1108000","54","193636.43027000","546419.55176000"
"13","1106105","서빙고119안전센터","안전센터/구조대"," ","1106000","55","199560.74741400","546816.07316300"
"14","1115401","반포119안전센터","안전센터/구조대"," ","1115000","56","199278.08471400","544329.03800000"
"15","1115402","구조대","안전센터/구조대"," ","1115000","57","199298.79123600","544328.23976600"
"16","1119000","구로소방서","소방서"," ","1100000","58","188078.71896000","544268.36024700"
"17","1119102","수궁119안전센터","안전센터/구조대"," ","1119000","59","184928.50111800","544104.90571100"
"18","1119401","고일119안전센터","안전센터/구조대"," ","1119000","60","188088.24025800","544276.08335800"
"19","1119103","고척119안전센터","안전센터/구조대"," ","1119000","61","187170.29949700","545059.57293600"
"20","1119107","신도림119안전센터","안전센터/구조대"," ","1119000","62","189498.03321700","545329.64159500"
"21","1108104","대림119안전센터","안전센터/구조대"," ","1108000","63","191515.08463500","544212.25613000"
"22","1119104","구로119안전센터","안전센터/구조대"," ","1119000","64","189614.79324700","543865.66491100"
"23","1119402","구조대","안전센터/구조대"," ","1119000","65","188070.36040200","544260.24510000"
"24","1112108","진관119안전센터","안전센터/구조대"," ","1112000","66","192920.22602400","558822.39615300"
"25","1121103","목동119안전센터","안전센터/구조대"," ","1121000","67","189711.09719500","549259.30622100"
"26","1121102","신정119안전센터","안전센터/구조대"," ","1121000","68","186823.71523400","546934.94919400"
"27","1115106","우면119안전센터","안전센터/구조대"," ","1115000","69","202109.10443300","542354.50617600"
"28","1115103","양재119안전센터","안전센터/구조대"," ","1115000","70","203613.47601300","541114.32362400"
"29","1114104","역삼119안전센터","안전센터/구조대"," ","1114000","71","203753.15647000","544189.66773200"
"30","1114106","개포119안전센터","안전센터/구조대"," ","1114000","72","204412.66247000","541694.95687500"
"31","1114105","수서119안전센터","안전센터/구조대"," ","1114000","73","208212.23158700","542833.34386500"
"32","1120104","잠실119안전센터","안전센터/구조대"," ","1120000","74","208302.37400000","545320.12900000"
"33","1113000","마포소방서","소방서"," ","1100000","75","194095.41467000","549987.08053300"
"34","1113102","신수119안전센터","안전센터/구조대"," ","1113000","76","194096.03945600","549994.81123600"
"35","1123103","홍은119안전센터","안전센터/구조대"," ","1123000","77","195326.17400000","555461.45600000"
"36","1113201","구조대","안전센터/구조대"," ","1113000","78","194095.11878000","549980.75235700"
"37","1113104","서교119안전센터","안전센터/구조대"," ","1113000","79","192535.00667600","550091.36853200"
"38","1112106","역촌119안전센터","안전센터/구조대"," ","1112000","80","192111.06886400","556161.09698100"
"39","1123102","북가좌119안전센터","안전센터/구조대"," ","1123000","81","192315.27903500","553702.71318200"
"40","1112107","수색119안전센터","안전센터/구조대"," ","1112000","82","190277.69736700","553969.30815900"
"41","1103104","신교119안전센터","안전센터/구조대"," ","1103000","83","197355.38581100","553858.94322100"
"42","1120401","마천119안전센터","안전센터/구조대"," ","1120000","116","212603.37213300","544480.37863200"
"43","1120402","구조대","안전센터/구조대"," ","1120000","117","212614.45919200","544505.43192200"
"44","1122000","중랑소방서","소방서"," ","1100000","118","208374.71028400","557311.39739200"
"45","1122101","신내119안전센터","안전센터/구조대"," ","1122000","119","208386.84471700","557306.93386500"
"46","1122201","구조대","안전센터/구조대"," ","1122000","120","208363.81201400","557316.99174400"
"47","1118105","길동119안전센터","안전센터/구조대"," ","1118000","121","212759.62021700","549059.38613000"
"48","1107104","용두119안전센터","안전센터/구조대"," ","1107000","122","202803.92410000","553146.12241900"
"49","1103109","숭인119안전센터","안전센터/구조대"," ","1103000","123","201923.62543400","553134.91275400"
"50","1107000","동대문소방서","소방서"," ","1100000","124","205889.34029900","551610.21589300"
"51","1106103","이태원119안전센터","안전센터/구조대"," ","1106000","84","199630.19000000","548320.59900000"
"52","1103201","구조대","안전센터/구조대"," ","1103000","85","198137.48927900","552586.33803500"
"53","1123104","북아현119안전센터","안전센터/구조대"," ","1123000","86","196090.62749200","551239.35096500"
"54","1100106","회현119안전센터","안전센터/구조대"," ","1100000","87","198527.94626700","550963.42401900"
"55","1104103","충무로119안전센터","안전센터/구조대"," ","1104000","88","199377.79568200","551402.01006800"
"56","1106104","후암119안전센터","안전센터/구조대"," ","1106000","89","198043.85383200","549932.89880400"
"57","1126306","여의도수난구조대","안전센터/구조대"," ","1108000","90","192982.68531800","548340.96863300"
"58","1117103","방화119안전센터","안전센터/구조대"," ","1117000","91","183596.69866700","553377.37350800"
"59","1117102","화곡119안전센터","안전센터/구조대"," ","1117000","92","186322.63379000","549360.27491900"
"60","1121101","양천119안전센터","안전센터/구조대"," ","1121000","93","188693.98721900","547861.54736200"
"61","1117000","강서소방서","소방서"," ","1100000","94","187654.57460000","550953.98078600"
"62","1117401","등촌119안전센터","안전센터/구조대"," ","1117000","95","187651.13314500","550956.01180900"
"63","1117402","구조대","안전센터/구조대"," ","1117000","96","187658.90185000","550951.76537100"
"64","1121201","구조대","안전센터/구조대"," ","1121000","97","188725.07649000","547857.62089300"
"65","1126503","소방항공대","안전센터/구조대"," ","1126000","98","181216.79556800","550582.33341700"
"66","1121104","신월119안전센터","안전센터/구조대"," ","1121000","99","185250.49767300","547617.07083800"
"67","1102103","상도119안전센터","안전센터/구조대"," ","1102000","100","193765.92973100","544396.44096200"
"68","1108105","신길119안전센터","안전센터/구조대"," ","1108000","101","193119.81728400","545662.28919300"
"69","1116103","신림119안전센터","안전센터/구조대"," ","1116000","102","193277.79639600","543359.94859200"
"70","1102102","노량진119안전센터","안전센터/구조대"," ","1102000","103","195310.03900000","546021.91400000"
"71","1102104","백운119안전센터","안전센터/구조대"," ","1102000","104","196604.19400000","543927.68000000"
"72","1103105","연건119안전센터","안전센터/구조대"," ","1103000","105","200165.57220400","553318.26737200"
"73","1112000","은평소방서","소방서"," ","1100000","106","192919.60820800","558814.95715800"
"74","1111104","월계119안전센터","안전센터/구조대"," ","1111000","107","204979.68328300","558801.24866400"
"75","1111101","하계119안전센터","안전센터/구조대"," ","1111000","108","206275.37019400","559844.46671800"
"76","1110102","방학119안전센터","안전센터/구조대"," ","1110000","109","203796.21838200","562701.15355000"
"77","1110201","구조대","안전센터/구조대"," ","1110000","110","203798.82620000","562723.21431900"
"78","1111201","구조대","안전센터/구조대"," ","1111000","111","206281.60369600","559826.65682800"
"79","1126502","119특수구조대","안전센터/구조대"," ","1126000","112","192449.03919000","559344.82490300"
"80","1110103","창동119안전센터","안전센터/구조대"," ","1110000","113","203860.74500000","560793.12000000"
"81","1120000","송파소방서","소방서"," ","1100000","114","212608.79754100","544491.36508100"
"82","1120103","방이119안전센터","안전센터/구조대"," ","1120000","115","212076.60100000","546709.14900000"
"83","1107101","장안119안전센터","안전센터/구조대"," ","1107000","125","205894.61212700","551617.00584800"
"84","1107103","전농119안전센터","안전센터/구조대"," ","1107000","126","204062.57161100","552975.77461100"
"85","1109102","돈암119안전센터","안전센터/구조대"," ","1109000","127","201275.52941000","554600.66488700"
"86","1107201","구조대","안전센터/구조대"," ","1107000","128","205884.30956200","551602.75496400"
"87","1104000","중부소방서","소방서"," ","1100000","129","201360.35437400","551703.85770700"
"88","1104401","무학119안전센터","안전센터/구조대"," ","1104000","130","201359.58272400","551696.22457800"
"89","1104402","구조대","안전센터/구조대"," ","1104000","131","201360.60625100","551712.16965500"
"90","1104105","을지로119안전센터","안전센터/구조대"," ","1104000","132","201067.70980800","551909.11516700"
"91","1104106","신당119안전센터","안전센터/구조대"," ","1104000","133","200851.61588800","550378.67978000"
"92","1118102","천호119안전센터","안전센터/구조대"," ","1118000","134","211611.03086800","548796.75460500"
"93","1111105","수락119안전센터","안전센터/구조대"," ","1111000","135","204916.95287500","564450.21253500"
"94","1111106","공릉119안전센터","안전센터/구조대"," ","1111000","136","207126.86414100","557723.27158600"
"95","1109101","종암119안전센터","안전센터/구조대"," ","1109000","137","202791.96441000","555883.19956600"
"96","1109201","구조대","안전센터/구조대"," ","1109000","138","202816.89369800","555864.51538500"
"97","1109000","성북소방서","소방서"," ","1100000","139","202804.14903600","555873.75998800"
"98","1107102","청량리119안전센터","안전센터/구조대"," ","1107000","140","204625.88956800","554177.41885100"
"99","1125104","삼각산119안전센터","안전센터/구조대"," ","1125000","141","201365.26879500","557807.80017000"
"100","1117105","개화119안전센터","안전센터/구조대"," ","1117000","142","182606.22971800","552851.94829200"
"101","1123201","119구조대","안전센터/구조대"," ","1123000","143","194220.38455300","552477.26472100"
"102","1123000","서대문소방서","소방서"," ","1100000","144","194337.76982500","552637.43659000"
"103","1106000","용산소방서","소방서"," ","1100000","145","197483.52718000","548286.90582400"
"104","1106101","한강로119안전센터","안전센터/구조대"," ","1106000","146","197475.76005400","548278.77321700"
"105","1106201","구조대","안전센터/구조대"," ","1106000","147","197492.98237500","548295.29312200"
"106","1102000","동작소방서","소방서"," ","1100000","148","192720.09896400","543910.66210300"
"107","1102101","동작119안전센터","안전센터/구조대"," ","1102000","149","192707.36643600","543910.39901000"
"108","1102201","구조대","안전센터/구조대"," ","1102000","150","192731.61975900","543910.74737400"
"109","1120105","종합운동장119안전센터","안전센터/구조대"," ","1120000","151","206275.59932300","546084.18538000"
"110","1107105","휘경119안전센터","안전센터/구조대"," ","1107000","152","205752.84008900","554569.37835100"
"111","1121105","신트리119안전센터","안전센터/구조대"," ","1121000","153","186559.88464200","545696.92461000"
"112","1113107","상암119안전센터","안전센터/구조대"," ","1113000","154","189510.67400000","553380.00600000"
"113","1106102","이촌119안전센터","안전센터/구조대"," ","1106000","155","195879.73823200","547839.35314500"
"114","1121000","양천소방서","소방서"," ","1100000","156","188708.93588200","547859.28857400"
"115","1100212","북한산산악구조대","안전센터/구조대"," ","1100000","157","194994.66571900","560097.88896300"
"116","1126305","반포수난구조대","안전센터/구조대"," ","1100000","158","198175.28241500","545201.81074500"
"117","1100211","도봉산산악구조대","안전센터/구조대"," ","1100000","159","203074.04665600","565427.99142000"
"118","1100213","관악산산악구조대","안전센터/구조대"," ","1100000","160","195129.59190000","539763.99600200"
"119","1127301","성수119안전센터","안전센터/구조대"," ","1127000","161","205362.46810400","548633.01066100"
"120","1105107","중곡119안전센터","안전센터/구조대"," ","1105000","162","207654.21809300","551938.09056800"
"121","1127302","왕십리119안전센터","안전센터/구조대"," ","1127000","163","203136.05691700","551389.95402700"
"122","1127303","금호119안전센터","안전센터/구조대"," ","1127000","164","202151.58183600","550503.68750700"
"123","1127402","구조대","안전센터/구조대"," ","1127000","165","203498.41030300","550472.82107000"
"124","1127401","행당119안전센터","안전센터/구조대"," ","1127000","166","203478.78306200","550454.88151200"
"125","1127000","성동소방서","소방서"," ","1100000","167","203491.17069700","550460.99593000"
"126","1105103","능동119안전센터","안전센터/구조대"," ","1105000","168","206799.95719400","550240.66881600"
"127","1126304","뚝섬수난구조대","안전센터/구조대"," ","1105000","169","205355.39075400","547981.18054200"
"128","1105000","광진소방서","소방서"," ","1100000","170","207312.91967300","549483.16212200"
"129","1105402","구조대","안전센터/구조대"," ","1105000","171","207318.93658300","549481.43352800"
"130","1105401","구의119안전센터","안전센터/구조대"," ","1105000","172","207305.85009000","549485.43858600"
"131","1114107","세곡119안전센터","안전센터/구조대"," ","1114000","173","209487.11495600","541229.37768100"
"132","1100512","본부현장대응단","안전센터/구조대"," ","1100000","174","199041.96291300","551037.28760900"
"133","1117106","마곡119안전센터","안전센터/구조대"," ","1117000","175","184158.52910600","550727.28555100"
"134","1118106","강일119안전센터","안전센터/구조대"," ","1118000","176","215876.12877900","550883.69423800"
"135","1126307","광나루수난구조대","안전센터/구조대"," ","1126000","177","210400.25000000","549496.70000000"
"136","1110108","쌍문119안전센터","안전센터/구조대"," ","1110000","1","202367.98100000","560953.28700000"
"137","1125000","강북소방서","소방서"," ","1100000","2","203372.13415000","559271.25373500"
"138","1125101","번동119안전센터","안전센터/구조대"," ","1125000","3","203369.03920700","559276.67560400"
"139","1125201","구조대","안전센터/구조대"," ","1125000","4","203375.74270700","559265.79495200"
"140","1113105","공덕119안전센터","안전센터/구조대"," ","1113000","5","196444.77984900","550061.60010800"
"141","1103108","종로119안전센터","안전센터/구조대"," ","1103000","6","199314.85600000","552411.26800000"
"142","1103000","종로소방서","소방서"," ","1100000","7","198136.56227900","552591.17803500"
"143","1103102","세종로119안전센터","안전센터/구조대"," ","1103000","8","198138.07827900","552597.22503500"
"144","1112105","녹번119안전센터","안전센터/구조대"," ","1112000","9","194253.57539800","555729.36896400"
"145","1112202","119구조대","안전센터/구조대"," ","1112000","10","192919.99074300","558806.00204700"
"146","1116102","봉천119안전센터","안전센터/구조대"," ","1116000","11","194824.20500000","542949.90000000"
"147","1120106","가락119안전센터","안전센터/구조대"," ","1120000","12","210034.27309200","544119.02997100"
"148","1113103","염리119안전센터","안전센터/구조대"," ","1113000","13","195187.58053200","549133.37920800"
"149","1119108","공단119안전센터","안전센터/구조대"," ","1119000","14","191021.31692500","542757.69176900"
"150","1108000","영등포소방서","소방서"," ","1100000","15","191526.84214200","546560.60757000"
"151","1108101","영등포119안전센터","안전센터/구조대"," ","1108000","16","191529.16114200","546547.26857000"
"152","1108201","구조대","안전센터/구조대"," ","1108000","17","191531.84814200","546551.60057000"
"153","1114000","강남소방서","소방서"," ","1100000","18","205904.58100000","545647.84700000"
"154","1114402","구조대","안전센터/구조대"," ","1114000","19","205898.61273600","545643.35293400"
"155","1114401","삼성119안전센터","안전센터/구조대"," ","1114000","20","205916.57700000","545650.85200000"
"156","1117104","발산119안전센터","안전센터/구조대"," ","1117000","21","185588.49400000","550648.75300000"
"157","1108103","당산119안전센터","안전센터/구조대"," ","1108000","22","191092.14100000","548448.62200000"
"158","1115104","서초119안전센터","안전센터/구조대"," ","1115000","23","202439.13682300","543179.17255600"
"159","1123101","연희119안전센터","안전센터/구조대"," ","1123000","24","194344.55800000","552625.20700000"
"160","1113106","성산119안전센터","안전센터/구조대"," ","1113000","25","191440.25100200","552344.46175200"
"161","1118000","강동소방서","소방서"," ","1100000","26","211043.48766900","547760.41718700"
"162","1122102","면목119안전센터","안전센터/구조대"," ","1122000","27","207055.48100000","552592.48200000"
"163","1122103","망우119안전센터","안전센터/구조대"," ","1122000","28","208881.69428000","555365.98482400"
"164","1120102","거여119안전센터","안전센터/구조대"," ","1120000","29","213423.65221500","543861.49954700"
"165","1118101","성내119안전센터","안전센터/구조대"," ","1118000","30","211038.26813400","547762.82036500"
"166","1118103","고덕119안전센터","안전센터/구조대"," ","1118000","31","213433.65025300","550859.46803300"
"167","1118104","암사119안전센터","안전센터/구조대"," ","1118000","32","211367.26236500","550503.15847600"
"168","1118201","구조대","안전센터/구조대"," ","1118000","33","211050.11338200","547757.01500800"
"169","1110106","도봉119안전센터","안전센터/구조대"," ","1110000","34","203608.20240000","565323.04060000"
"170","1122104","중화119안전센터","안전센터/구조대"," ","1122000","35","207004.39900000","555658.69300000"
"171","1109103","길음119안전센터","안전센터/구조대"," ","1109000","36","201690.03400000","555917.92400000"
"172","1109104","장위119안전센터","안전센터/구조대"," ","1109000","37","205140.28277500","557337.14159500"
"173","1125102","우이119안전센터","안전센터/구조대"," ","1125000","38","201461.94131900","560141.80109200"
"174","1125103","미아119안전센터","안전센터/구조대"," ","1125000","39","202500.72325800","557825.97995000"
"175","1111000","노원소방서","소방서"," ","1100000","40","206278.71010600","559835.89427800"
"176","1110000","도봉소방서","소방서"," ","1100000","41","203797.40450000","562711.42238400"
"177","1111102","상계119안전센터","안전센터/구조대"," ","1111000","42","206323.82300000","561714.88622100"