,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,석유판매업,세탁업,영화상영관,제과점영업,체력단련장업,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,음식점수,장보기시설,쇼핑시설
0,청운동,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0
1,신교동,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,1,11,0.0,0.0
2,궁정동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0.0,0.0
3,효자동,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0
4,창성동,0,2,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,23,0.0,0.0
5,통의동,0,4,3,0,0,0,0,0,3,1,0,0,1,0,1,0,0,3,0,75,0.0,0.0
6,적선동,1,0,0,0,1,0,0,0,0,1,0,3,9,0,0,0,0,1,0,81,0.0,0.0
7,통인동,0,3,2,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,85,0.0,0.0
8,누상동,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.0,0.0
9,누하동,0,3,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,55,0.0,0.0
10,옥인동,0,2,3,0,0,0,1,0,1,0,0,2,1,0,1,0,1,0,0,31,0.0,0.0
11,체부동,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,0,1,2,92,0.0,0.0
12,필운동,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,78,0.0,0.0
13,내자동,0,4,0,0,0,0,1,0,1,2,1,4,6,0,0,0,0,2,0,95,0.0,0.0
14,사직동,0,10,0,2,1,1,1,0,0,2,0,1,0,0,1,0,1,0,0,44,0.0,0.0
15,도렴동,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,62,0.0,0.0
16,당주동,0,0,2,0,0,0,2,0,3,1,0,2,11,0,0,0,0,1,2,161,0.0,0.0
17,내수동,0,0,0,1,1,0,4,0,4,7,0,0,6,0,0,0,2,0,1,144,0.0,0.0
18,세종로,1,15,1,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,26,0.0,0.0
19,신문로1가,0,5,0,0,0,0,0,2,0,2,0,3,18,0,1,0,2,0,0,105,1.0,0.0
20,신문로2가,0,3,0,0,0,0,0,2,1,2,1,0,1,0,0,0,1,0,0,102,0.0,0.0
21,청진동,0,0,1,0,0,0,0,0,2,0,0,5,13,0,0,0,1,0,2,198,0.0,0.0
22,서린동,0,1,1,0,0,0,0,0,0,1,0,1,4,0,0,0,1,0,0,43,1.0,0.0
23,수송동,0,0,0,0,0,1,1,0,1,0,0,2,6,0,1,0,1,0,2,122,0.0,0.0
24,중학동,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,0.0
25,종로1가,1,4,0,0,0,0,1,0,3,2,0,5,14,0,0,0,0,0,0,98,0.0,1.0
26,공평동,0,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,54,0.0,0.0
27,관훈동,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,202,0.0,0.0
28,견지동,0,5,0,0,0,0,0,0,2,1,0,1,5,0,0,0,0,0,1,35,0.0,0.0
29,와룡동,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,21,0.0,0.0
30,권농동,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,30,0.0,0.0
31,운니동,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,35,0.0,0.0
32,익선동,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,152,0.0,0.0
33,경운동,0,7,1,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2,22,0.0,0.0
34,관철동,0,5,0,2,0,0,0,0,1,1,0,3,9,0,1,0,0,18,7,369,0.0,0.0
35,인사동,0,2,0,0,1,0,2,0,0,0,0,0,3,0,0,0,1,1,0,164,0.0,0.0
36,낙원동,0,1,0,0,3,0,2,2,4,1,0,2,4,0,0,0,0,2,7,232,0.0,2.0
37,종로2가,0,6,1,0,0,0,0,0,2,0,0,4,13,0,1,0,1,1,1,60,0.0,0.0
38,팔판동,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0.0,0.0
39,삼청동,0,7,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,100,0.0,0.0
40,안국동,1,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,37,0.0,0.0
41,소격동,0,1,0,0,0,0,1,0,1,1,0,1,2,0,1,0,0,0,0,44,0.0,0.0
42,화동,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,0.0,0.0
43,사간동,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.0,0.0
44,송현동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
45,가회동,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,24,0.0,0.0
46,재동,0,4,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,3,1,75,0.0,0.0
47,계동,0,6,1,0,0,0,1,0,8,0,0,1,2,0,0,0,0,0,1,74,0.0,0.0
48,원서동,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,29,0.0,0.0
49,훈정동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
50,묘동,1,1,0,0,0,0,0,0,3,0,0,2,2,1,0,1,0,2,1,75,0.0,0.0
51,봉익동,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,44,0.0,0.0
52,돈의동,1,0,0,0,0,0,1,6,0,0,0,1,1,0,0,0,0,0,0,127,0.0,0.0
53,장사동,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0.0,0.0
54,관수동,0,1,1,0,1,0,0,0,2,0,0,0,3,0,0,0,0,2,1,106,0.0,0.0
55,종로3가,1,7,0,0,0,0,0,0,3,1,0,6,15,0,0,0,0,1,2,70,0.0,0.0
56,인의동,0,2,0,1,1,1,2,0,1,0,0,0,4,0,0,0,0,0,1,71,0.0,2.0
57,예지동,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,1.0,1.0
58,원남동,0,4,0,1,1,0,0,0,2,2,0,5,0,0,0,0,0,0,0,39,0.0,0.0
59,연지동,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,59,0.0,0.0
60,종로4가,0,6,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,1,41,0.0,0.0
61,효제동,0,3,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,2,105,0.0,0.0
62,종로5가,1,7,1,0,0,0,0,0,1,0,0,27,31,0,1,0,0,2,8,225,0.0,0.0
63,종로6가,1,4,9,0,0,0,1,0,2,0,0,5,20,0,1,0,1,1,2,94,0.0,3.0
64,이화동,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,55,0.0,0.0
65,연건동,0,15,0,1,0,0,2,0,6,2,2,9,1,0,0,1,0,0,1,70,0.0,0.0
66,충신동,0,3,4,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,32,0.0,0.0
67,동숭동,0,2,2,0,0,1,0,0,3,0,0,2,6,0,1,0,1,4,1,256,0.0,0.0
68,혜화동,0,11,5,0,0,1,3,0,1,2,0,4,11,0,2,0,0,0,0,102,0.0,0.0
69,명륜1가,0,5,0,0,1,0,3,0,0,0,0,1,5,0,1,0,0,0,2,50,0.0,0.0
70,명륜2가,0,5,2,0,1,1,2,8,0,2,0,1,6,0,0,0,0,7,4,189,0.0,0.0
71,명륜4가,1,2,1,0,0,0,1,0,4,1,0,8,2,0,0,0,0,6,1,229,0.0,0.0
72,명륜3가,0,10,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,2,1,115,0.0,0.0
73,창신동,2,15,1,1,3,0,7,0,7,3,0,11,36,0,2,0,0,7,11,449,1.0,2.0
74,숭인동,2,18,4,2,3,0,8,0,5,5,1,7,14,0,1,1,2,11,6,321,2.0,1.0
75,교남동,0,4,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,1,0,40,0.0,0.0
76,평동,1,6,0,0,0,0,0,0,2,0,1,10,5,0,0,0,0,0,1,34,0.0,0.0
77,송월동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0.0,0.0
78,홍파동,0,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,17,0.0,0.0
79,교북동,0,6,0,0,0,0,0,0,3,0,0,1,2,0,1,0,0,0,0,29,0.0,0.0
80,행촌동,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,22,0.0,0.0
81,구기동,0,18,0,1,1,0,3,0,1,1,0,2,3,1,0,0,0,2,2,50,0.0,0.0
82,평창동,0,36,1,4,0,3,5,0,3,4,1,3,5,0,0,0,3,0,1,79,0.0,0.0
83,부암동,0,9,1,0,1,2,2,0,3,1,0,0,2,0,0,0,1,0,0,65,0.0,0.0
84,홍지동,0,19,1,0,0,1,1,0,3,0,0,0,1,0,1,0,0,0,0,44,0.0,0.0
85,신영동,0,6,0,2,0,0,2,0,1,1,0,1,1,0,0,1,0,1,0,28,0.0,0.0
86,무악동,0,5,0,1,0,0,3,0,3,0,1,5,3,0,0,0,1,1,0,50,1.0,0.0
87,무교동,0,0,0,2,1,0,0,0,0,2,0,4,14,0,0,0,1,0,2,65,0.0,0.0
88,다동,0,0,0,0,0,0,1,0,3,3,0,2,5,0,1,0,1,0,4,163,0.0,0.0
89,태평로1가,0,5,1,2,3,0,0,0,2,3,0,0,4,0,1,0,1,0,3,69,0.0,0.0
90,을지로1가,1,4,0,0,0,0,0,0,4,0,0,1,4,0,0,0,0,0,2,45,0.0,0.0
91,을지로2가,0,3,0,0,1,0,0,0,3,1,0,5,18,0,0,0,2,0,7,163,0.0,0.0
92,남대문로1가,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0
93,삼각동,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,8,0.0,0.0
94,수하동,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2,41,0.0,0.0
95,장교동,0,0,0,1,0,0,1,0,0,2,0,1,2,0,0,0,0,0,1,23,0.0,1.0
96,수표동,0,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,2,48,0.0,0.0
97,소공동,0,2,0,2,1,0,4,0,14,0,0,2,3,0,0,0,0,0,1,88,0.0,2.0
98,남창동,1,5,0,3,0,0,1,0,3,2,0,6,13,0,1,0,0,1,4,158,0.0,5.0
99,북창동,0,0,0,1,1,0,1,0,2,1,0,1,1,0,0,0,0,2,5,142,0.0,0.0
100,태평로2가,0,7,0,0,0,0,1,0,3,3,0,2,4,0,0,0,0,0,2,110,0.0,0.0
101,남대문로2가,0,6,1,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,24,0.0,2.0
102,남대문로3가,0,4,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,36,0.0,0.0
103,남대문로4가,0,2,0,0,1,0,0,0,0,2,0,1,4,0,0,0,0,0,0,57,0.0,0.0
104,남대문로5가,1,8,0,1,3,0,1,0,9,4,0,6,18,0,0,0,1,1,8,205,0.0,0.0
105,봉래동1가,0,5,0,0,0,1,0,0,1,1,0,0,5,0,0,0,0,0,1,28,0.0,0.0
106,봉래동2가,0,8,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,11,1.0,2.0
107,회현동1가,0,3,0,1,0,0,5,0,2,7,0,2,12,0,1,0,0,1,1,144,0.0,1.0
108,회현동2가,0,3,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,1,34,0.0,0.0
109,회현동3가,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,15,0.0,0.0
110,충무로1가,0,2,0,0,1,0,1,6,11,1,1,3,12,0,0,0,0,0,2,77,0.0,2.0
111,충무로2가,1,2,0,1,2,0,1,8,2,2,0,4,12,0,0,0,0,1,4,102,0.0,2.0
112,명동1가,0,0,0,2,1,0,1,0,2,2,1,4,10,0,0,0,0,0,3,64,0.0,0.0
113,명동2가,0,0,2,4,2,0,0,4,3,4,0,3,15,0,1,0,0,2,0,170,0.0,2.0
114,남산동1가,0,1,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,25,0.0,0.0
115,남산동2가,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,61,0.0,0.0
116,남산동3가,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0.0,0.0
117,저동1가,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,38,0.0,0.0
118,충무로4가,0,2,0,3,0,0,0,9,1,1,0,2,6,1,0,0,0,0,4,113,0.0,1.0
119,충무로5가,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,2,55,0.0,0.0
120,인현동2가,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,64,0.0,0.0
121,예관동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0
122,묵정동,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,18,0.0,0.0
123,필동1가,0,4,0,0,1,0,0,0,1,0,0,1,2,0,1,0,0,0,2,61,0.0,0.0
124,필동2가,2,1,1,2,0,2,2,3,0,1,0,2,4,0,0,0,0,4,2,143,0.0,0.0
125,필동3가,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,5,67,0.0,0.0
126,남학동,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0,0.0
127,주자동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0
128,예장동,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0.0,0.0
129,장충동1가,0,3,0,0,0,1,2,0,0,1,0,1,1,0,0,0,0,1,0,29,0.0,0.0
130,장충동2가,1,10,0,2,4,1,2,1,9,3,0,0,2,0,1,0,0,2,2,126,0.0,0.0
131,광희동1가,1,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,1,92,0.0,0.0
132,광희동2가,1,5,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,19,0.0,0.0
133,쌍림동,0,2,0,0,1,0,2,0,1,1,0,1,5,0,0,0,1,0,1,47,0.0,0.0
134,을지로6가,0,8,16,4,1,0,0,14,6,1,0,7,12,0,0,0,0,2,9,272,0.0,9.0
135,을지로7가,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,25,0.0,1.0
136,을지로4가,1,4,0,0,0,0,0,0,1,1,0,4,14,0,0,0,0,0,3,61,0.0,1.0
137,을지로5가,0,2,0,1,1,0,0,0,0,1,0,0,3,0,1,0,1,1,3,42,0.0,0.0
138,주교동,1,2,1,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,3,75,0.0,0.0
139,방산동,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,0.0,1.0
140,오장동,0,0,0,2,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,55,0.0,1.0
141,을지로3가,2,3,1,3,2,1,0,0,2,3,0,1,4,0,1,0,0,0,5,165,0.0,0.0
142,입정동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.0,0.0
143,산림동,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44,0.0,1.0
144,충무로3가,0,1,1,1,0,0,0,0,0,3,0,0,5,0,0,1,0,0,3,121,0.0,0.0
145,초동,0,0,0,1,0,0,1,3,0,1,0,2,5,0,0,0,0,0,6,111,0.0,0.0
146,인현동1가,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,3,50,0.0,0.0
147,저동2가,0,0,1,1,0,0,0,0,1,0,0,6,6,0,0,0,1,0,3,104,0.0,0.0
148,신당동,6,43,1,15,6,8,41,0,23,24,2,37,108,2,3,2,3,33,39,1039,2.0,18.0
149,흥인동,1,2,0,2,0,0,0,0,2,4,1,4,4,0,0,0,0,0,3,88,0.0,0.0
150,무학동,0,1,0,0,0,1,0,0,0,0,0,2,5,0,0,1,0,9,3,50,0.0,0.0
151,황학동,0,6,0,4,2,0,6,0,6,8,0,10,17,0,0,0,0,2,10,323,1.0,2.0
152,서소문동,1,4,1,2,0,0,0,0,3,3,0,4,18,0,1,0,1,0,3,144,0.0,0.0
153,정동,1,3,0,3,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,89,0.0,0.0
154,순화동,0,2,1,3,1,0,1,0,1,3,1,1,7,0,0,0,1,0,1,107,0.0,0.0
155,의주로1가,0,3,0,1,0,0,0,0,1,2,0,0,2,0,0,0,1,0,0,4,0.0,0.0
156,충정로1가,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,11,0.0,0.0
157,중림동,0,8,1,1,0,0,4,0,4,2,0,6,13,0,1,0,0,3,3,168,0.0,0.0
158,의주로2가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0.0,0.0
159,만리동1가,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,32,0.0,0.0
160,만리동2가,0,3,0,1,0,0,1,0,2,1,0,2,4,0,0,0,4,0,1,14,1.0,0.0
161,후암동,0,19,1,1,3,1,6,0,5,1,0,5,14,0,1,1,0,3,2,187,0.0,0.0
162,용산동2가,0,26,4,0,1,0,3,0,5,1,0,2,6,1,0,0,0,2,2,252,0.0,0.0
163,용산동4가,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
164,갈월동,1,9,1,0,1,0,2,0,5,2,0,4,26,0,0,0,0,3,4,106,0.0,0.0
165,남영동,0,3,0,1,0,1,0,0,0,5,0,2,8,0,0,0,0,7,2,144,1.0,0.0
166,용산동1가,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0
167,동자동,1,6,1,2,1,1,2,0,13,1,0,2,4,1,0,0,0,2,4,171,0.0,0.0
168,서계동,0,8,0,0,0,2,3,0,3,1,1,2,8,0,0,0,0,3,2,104,1.0,0.0
169,청파동1가,0,3,0,1,0,0,5,0,0,1,0,2,1,0,0,0,0,1,0,39,0.0,0.0
170,청파동2가,0,10,1,0,1,0,3,0,3,1,0,2,2,0,0,0,0,3,0,107,0.0,0.0
171,청파동3가,0,3,1,2,2,0,2,0,2,1,0,2,4,1,0,0,0,1,1,113,0.0,0.0
172,원효로1가,0,10,0,1,0,0,3,0,5,5,0,0,9,0,1,0,0,1,0,116,1.0,0.0
173,원효로2가,0,5,0,0,0,1,1,0,2,0,0,2,10,0,0,0,0,5,1,100,0.0,0.0
174,신창동,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0
175,산천동,0,2,0,2,0,0,1,0,3,0,0,1,4,0,0,0,0,0,0,5,0.0,0.0
176,청암동,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0
177,원효로3가,0,4,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,4,0,62,0.0,0.0
178,원효로4가,0,9,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,24,0.0,0.0
179,효창동,1,14,0,0,0,0,1,0,3,1,0,5,7,0,0,0,1,0,2,50,0.0,0.0
180,도원동,0,6,0,0,1,0,2,0,4,0,0,0,3,0,0,0,0,0,0,12,0.0,0.0
181,용문동,0,11,0,0,1,0,3,0,4,0,0,0,11,0,0,0,0,4,1,91,0.0,0.0
182,문배동,0,6,0,0,0,0,4,0,1,1,0,1,0,0,0,0,3,0,0,25,0.0,0.0
183,신계동,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,54,0.0,0.0
184,한강로1가,2,5,0,1,0,1,4,0,3,0,0,1,7,0,1,0,0,5,3,147,0.0,1.0
185,한강로2가,1,11,1,1,0,1,4,0,10,1,0,3,37,0,0,1,0,3,2,370,1.0,2.0
186,용산동3가,0,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,27,0.0,0.0
187,용산동5가,1,3,0,0,0,0,1,0,3,1,0,0,2,0,1,0,1,0,0,19,0.0,0.0
188,한강로3가,0,22,2,2,3,1,5,28,13,6,0,10,17,0,0,0,2,2,3,347,1.0,2.0
189,이촌동,0,31,0,4,3,1,9,0,6,6,1,4,35,1,0,1,7,1,1,201,1.0,0.0
190,이태원동,1,34,3,1,4,0,10,0,16,9,0,2,24,0,1,1,2,10,2,1043,1.0,1.0
191,한남동,1,39,3,3,2,6,9,0,23,26,1,6,24,1,1,0,3,9,2,770,1.0,0.0
192,동빙고동,0,6,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,33,0.0,0.0
193,서빙고동,0,13,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,10,0.0,0.0
194,주성동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
195,용산동6가,0,6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,15,1.0,2.0
196,보광동,0,11,1,0,5,2,8,0,2,4,0,6,20,0,1,0,0,5,4,191,1.0,0.0
197,상왕십리동,0,5,0,0,0,0,3,0,1,1,0,1,7,0,0,0,1,1,0,55,0.0,0.0
198,하왕십리동,1,27,2,4,2,1,10,0,9,8,1,12,35,1,0,0,4,5,2,185,0.0,0.0
199,홍익동,0,3,0,1,0,1,2,0,3,1,1,2,4,0,1,0,0,5,0,99,0.0,0.0
200,도선동,0,4,0,0,1,2,6,0,4,7,1,6,27,0,0,1,0,7,6,149,0.0,1.0
201,마장동,1,29,0,4,0,1,9,0,3,2,0,6,21,2,0,0,0,8,9,177,1.0,0.0
202,사근동,0,20,0,0,1,1,4,0,2,0,0,1,0,0,0,0,0,2,1,45,0.0,0.0
203,행당동,4,69,3,6,0,0,18,10,20,11,1,21,60,0,2,1,2,31,15,613,2.0,4.0
204,응봉동,0,31,0,3,1,0,7,0,1,0,0,2,7,0,1,0,0,1,1,27,0.0,0.0
205,금호동1가,0,37,0,2,1,0,9,0,1,3,0,6,13,0,0,1,0,3,1,65,1.0,0.0
206,금호동2가,1,18,3,0,0,0,4,0,2,1,0,4,9,0,1,0,1,4,4,92,0.0,0.0
207,금호동3가,0,25,1,1,0,0,6,0,5,1,0,10,18,0,0,0,2,4,1,117,2.0,0.0
208,금호동4가,1,28,1,2,2,2,4,0,6,3,0,7,21,1,1,0,1,12,2,102,0.0,0.0
209,옥수동,1,44,1,3,2,1,11,0,10,11,0,8,34,0,0,0,2,4,1,132,0.0,1.0
210,성수동1가,1,46,5,7,2,5,13,7,32,13,0,7,29,2,0,0,2,24,11,746,2.0,0.0
211,성수동2가,1,51,1,9,5,6,18,0,26,19,1,18,45,0,2,1,3,40,19,1015,2.0,1.0
212,송정동,0,12,0,0,0,2,5,0,4,1,1,3,3,0,0,0,1,6,2,74,0.0,0.0
213,용답동,3,12,0,2,1,3,4,0,1,3,2,8,21,0,1,0,1,14,5,195,1.0,0.0
214,중곡동,1,87,3,10,7,8,39,0,27,26,1,41,117,0,4,1,1,71,46,872,3.0,3.0
215,능동,3,11,0,2,0,1,4,0,3,4,2,4,16,0,0,1,2,18,5,132,0.0,0.0
216,구의동,2,57,2,20,5,2,43,11,27,41,1,33,103,1,1,1,2,61,43,896,2.0,6.0
217,광장동,1,36,2,5,5,2,9,0,9,9,0,7,25,0,1,0,0,2,8,175,0.0,1.0
218,자양동,1,57,5,21,7,3,54,16,35,41,4,42,123,1,3,0,4,70,68,1031,1.0,6.0
219,화양동,3,17,1,4,0,1,11,1,15,17,3,15,51,0,1,0,1,71,50,901,1.0,1.0
220,군자동,0,25,0,4,1,1,12,9,7,15,1,9,33,0,0,0,0,14,21,342,0.0,1.0
221,신설동,2,10,0,3,2,1,3,0,3,4,1,4,13,1,0,0,0,9,4,232,0.0,2.0
222,용두동,1,28,0,6,2,3,16,0,6,6,5,20,43,1,1,1,2,13,7,368,2.0,1.0
223,제기동,1,28,0,2,1,5,7,0,11,9,2,72,79,0,1,0,1,5,3,484,3.0,0.0
224,전농동,1,48,3,4,5,4,26,8,17,10,2,25,37,1,2,1,2,21,9,486,3.0,2.0
225,답십리동,0,41,0,6,2,2,17,0,14,14,4,24,50,2,1,0,3,25,10,395,2.0,0.0
226,장안동,1,59,2,16,4,3,39,7,27,27,7,48,54,2,2,1,3,53,34,985,3.0,2.0
227,청량리동,0,24,0,0,3,3,7,0,5,7,1,20,55,0,1,1,2,16,10,259,0.0,1.0
228,회기동,0,9,1,1,2,0,4,0,11,11,2,16,8,0,1,0,1,16,2,378,1.0,1.0
229,휘경동,0,31,0,6,1,5,18,0,9,12,0,20,18,1,1,1,2,10,4,271,1.0,0.0
230,이문동,0,37,1,1,1,4,13,0,8,6,0,21,23,1,1,0,0,13,3,408,2.0,3.0
231,면목동,3,125,5,8,6,9,66,0,36,23,1,44,98,5,4,1,3,120,34,1445,2.0,2.0
232,상봉동,1,31,2,3,1,3,19,14,12,16,2,18,47,1,0,0,0,67,17,632,2.0,1.0
233,중화동,1,42,4,3,4,5,16,0,7,7,1,13,33,1,1,1,0,45,10,419,1.0,1.0
234,묵동,1,50,1,4,2,1,20,8,12,7,0,16,41,0,1,0,2,37,11,420,0.0,0.0
235,망우동,0,67,0,3,4,2,23,0,16,8,3,24,39,2,1,1,0,43,12,517,1.0,1.0
236,신내동,2,69,1,6,3,2,19,0,17,9,1,24,25,0,1,1,6,13,8,336,2.0,1.0
237,성북동,0,35,2,1,0,0,7,0,4,1,0,0,6,0,1,0,0,2,0,94,0.0,0.0
238,성북동1가,0,7,0,0,0,0,0,0,3,1,0,1,6,1,0,0,0,0,0,44,0.0,0.0
