dong_id,type_id,score,score_id
1,2,2,1
1,3,1,2
1,5,1,3
1,4,1,4
1,1,1,5
1,8,2,6
1,6,1,7
1,7,1,8
2,2,2,9
2,3,1,10
2,5,1,11
2,4,1,12
2,1,1,13
2,8,1,14
2,6,1,15
2,7,1,16
3,2,1,17
3,3,1,18
3,5,1,19
3,4,1,20
3,1,1,21
3,8,1,22
3,6,1,23
3,7,1,24
4,2,1,25
4,3,1,26
4,5,1,27
4,4,1,28
4,1,1,29
4,8,1,30
4,6,1,31
4,7,1,32
5,2,1,33
5,3,1,34
5,5,1,35
5,4,1,36
5,1,1,37
5,8,1,38
5,6,1,39
5,7,1,40
6,2,1,41
6,3,1,42
6,5,2,43
6,4,1,44
6,1,1,45
6,8,1,46
6,6,1,47
6,7,1,48
7,2,1,49
7,3,1,50
7,5,2,51
7,4,2,52
7,1,1,53
7,8,1,54
7,6,2,55
7,7,1,56
8,2,1,57
8,3,1,58
8,5,2,59
8,4,1,60
8,1,1,61
8,8,1,62
8,6,1,63
8,7,1,64
9,2,2,65
9,3,1,66
9,5,1,67
9,4,1,68
9,1,1,69
9,8,1,70
9,6,1,71
9,7,1,72
10,2,2,73
10,3,1,74
10,5,2,75
10,4,1,76
10,1,1,77
10,8,1,78
10,6,1,79
10,7,1,80
11,2,2,81
11,3,1,82
11,5,1,83
11,4,1,84
11,1,1,85
11,8,1,86
11,6,1,87
11,7,1,88
12,2,1,89
12,3,1,90
12,5,2,91
12,4,1,92
12,1,1,93
12,8,1,94
12,6,2,95
12,7,1,96
13,2,1,97
13,3,1,98
13,5,2,99
13,4,1,100
13,1,1,101
13,8,1,102
13,6,1,103
13,7,1,104
14,2,1,105
14,3,2,106
14,5,2,107
14,4,2,108
14,1,1,109
14,8,1,110
14,6,1,111
14,7,1,112
15,2,2,113
15,3,2,114
15,5,1,115
15,4,1,116
15,1,1,117
15,8,2,118
15,6,2,119
15,7,1,120
16,2,1,121
16,3,1,122
16,5,1,123
16,4,1,124
16,1,1,125
16,8,1,126
16,6,1,127
16,7,1,128
17,2,1,129
17,3,1,130
17,5,2,131
17,4,2,132
17,1,1,133
17,8,1,134
17,6,2,135
17,7,2,136
18,2,1,137
18,3,3,138
18,5,2,139
18,4,2,140
18,1,2,141
18,8,1,142
18,6,2,143
18,7,2,144
19,2,1,145
19,3,1,146
19,5,1,147
19,4,1,148
19,1,1,149
19,8,2,150
19,6,2,151
19,7,1,152
20,2,1,153
20,3,2,154
20,5,2,155
20,4,2,156
20,1,2,157
20,8,2,158
20,6,2,159
20,7,1,160
21,2,1,161
21,3,2,162
21,5,2,163
21,4,1,164
21,1,1,165
21,8,1,166
21,6,2,167
21,7,1,168
22,2,1,169
22,3,1,170
22,5,2,171
22,4,2,172
22,1,2,173
22,8,1,174
22,6,2,175
22,7,2,176
23,2,1,177
23,3,1,178
23,5,1,179
23,4,1,180
23,1,1,181
23,8,1,182
23,6,2,183
23,7,1,184
24,2,1,185
24,3,1,186
24,5,2,187
24,4,2,188
24,1,1,189
24,8,1,190
24,6,2,191
24,7,1,192
25,2,1,193
25,3,1,194
25,5,1,195
25,4,1,196
25,1,1,197
25,8,1,198
25,6,1,199
25,7,1,200
26,2,1,201
26,3,2,202
26,5,2,203
26,4,2,204
26,1,1,205
26,8,2,206
26,6,2,207
26,7,1,208
27,2,1,209
27,3,1,210
27,5,2,211
27,4,1,212
27,1,1,213
27,8,1,214
27,6,2,215
27,7,1,216
28,2,1,217
28,3,1,218
28,5,2,219
28,4,1,220
28,1,1,221
28,8,1,222
28,6,2,223
28,7,1,224
29,2,1,225
29,3,1,226
29,5,1,227
29,4,2,228
29,1,1,229
29,8,2,230
29,6,1,231
29,7,1,232
30,2,1,233
30,3,1,234
30,5,1,235
30,4,1,236
30,1,1,237
30,8,2,238
30,6,2,239
30,7,1,240
31,2,1,241
31,3,1,242
31,5,1,243
31,4,1,244
31,1,1,245
31,8,1,246
31,6,1,247
31,7,1,248
32,2,1,249
32,3,1,250
32,5,1,251
32,4,1,252
32,1,1,253
32,8,1,254
32,6,1,255
32,7,2,256
33,2,1,257
33,3,1,258
33,5,2,259
33,4,1,260
33,1,1,261
33,8,1,262
33,6,2,263
33,7,1,264
34,2,1,265
34,3,1,266
34,5,1,267
34,4,2,268
34,1,1,269
34,8,2,270
34,6,1,271
34,7,1,272
35,2,1,273
35,3,2,274
35,5,3,275
35,4,2,276
35,1,2,277
35,8,2,278
35,6,2,279
35,7,2,280
36,2,1,281
36,3,1,282
36,5,2,283
36,4,1,284
36,1,1,285
36,8,1,286
36,6,1,287
36,7,2,288
37,2,1,289
37,3,2,290
37,5,3,291
37,4,2,292
37,1,2,293
37,8,1,294
37,6,1,295
37,7,2,296
38,2,1,297
38,3,1,298
38,5,2,299
38,4,2,300
38,1,1,301
38,8,2,302
38,6,2,303
38,7,1,304
39,2,1,305
39,3,1,306
39,5,1,307
39,4,1,308
39,1,1,309
39,8,1,310
39,6,1,311
39,7,1,312
40,2,2,313
40,3,1,314
40,5,2,315
40,4,1,316
40,1,1,317
40,8,2,318
40,6,2,319
40,7,1,320
41,2,1,321
41,3,1,322
41,5,1,323
41,4,2,324
41,1,1,325
41,8,1,326
41,6,2,327
41,7,1,328
42,2,1,329
42,3,1,330
42,5,1,331
42,4,1,332
42,1,1,333
42,8,1,334
42,6,1,335
42,7,1,336
43,2,1,337
43,3,1,338
43,5,1,339
43,4,1,340
43,1,1,341
43,8,1,342
43,6,1,343
43,7,1,344
44,2,1,345
44,3,1,346
44,5,1,347
44,4,1,348
44,1,1,349
44,8,1,350
44,6,1,351
44,7,1,352
45,2,1,353
45,3,1,354
45,5,1,355
45,4,1,356
45,1,1,357
45,8,1,358
45,6,1,359
45,7,1,360
46,2,1,361
46,3,1,362
46,5,1,363
46,4,1,364
46,1,1,365
46,8,2,366
46,6,2,367
46,7,1,368
47,2,1,369
47,3,1,370
47,5,2,371
47,4,1,372
47,1,1,373
47,8,1,374
47,6,2,375
47,7,1,376
48,2,1,377
48,3,1,378
48,5,2,379
48,4,1,380
48,1,1,381
48,8,2,382
48,6,2,383
48,7,1,384
49,2,2,385
49,3,1,386
49,5,1,387
49,4,1,388
49,1,1,389
49,8,1,390
49,6,1,391
49,7,1,392
50,2,2,393
50,3,1,394
50,5,1,395
50,4,1,396
50,1,1,397
50,8,1,398
50,6,1,399
50,7,1,400
51,2,1,401
51,3,1,402
51,5,2,403
51,4,1,404
51,1,1,405
51,8,1,406
51,6,2,407
51,7,2,408
52,2,1,409
52,3,1,410
52,5,1,411
52,4,1,412
52,1,1,413
52,8,1,414
52,6,1,415
52,7,1,416
53,2,2,417
53,3,2,418
53,5,2,419
53,4,1,420
53,1,1,421
53,8,1,422
53,6,1,423
53,7,2,424
54,2,1,425
54,3,1,426
54,5,1,427
54,4,1,428
54,1,1,429
54,8,1,430
54,6,1,431
54,7,2,432
55,2,1,433
55,3,1,434
55,5,2,435
55,4,1,436
55,1,2,437
55,8,1,438
55,6,2,439
55,7,2,440
56,2,1,441
56,3,1,442
56,5,2,443
56,4,2,444
56,1,1,445
56,8,2,446
56,6,1,447
56,7,1,448
57,2,1,449
57,3,1,450
57,5,2,451
57,4,1,452
57,1,1,453
57,8,1,454
57,6,1,455
57,7,2,456
58,2,1,457
58,3,1,458
58,5,1,459
58,4,1,460
58,1,1,461
58,8,1,462
58,6,1,463
58,7,1,464
59,2,1,465
59,3,2,466
59,5,1,467
59,4,1,468
59,1,1,469
59,8,1,470
59,6,1,471
59,7,2,472
60,2,1,473
60,3,1,474
60,5,2,475
60,4,1,476
60,1,1,477
60,8,1,478
60,6,2,479
60,7,2,480
61,2,1,481
61,3,1,482
61,5,1,483
61,4,2,484
61,1,1,485
61,8,2,486
61,6,1,487
61,7,1,488
62,2,2,489
62,3,1,490
62,5,2,491
62,4,2,492
62,1,1,493
62,8,1,494
62,6,1,495
62,7,2,496
63,2,1,497
63,3,1,498
63,5,3,499
63,4,3,500
63,1,1,501
63,8,2,502
63,6,2,503
63,7,1,504
64,2,2,505
64,3,1,506
64,5,2,507
64,4,2,508
64,1,2,509
64,8,2,510
64,6,2,511
64,7,1,512
65,2,2,513
65,3,1,514
65,5,2,515
65,4,1,516
65,1,1,517
65,8,1,518
65,6,1,519
65,7,1,520
66,2,2,521
66,3,2,522
66,5,2,523
66,4,2,524
66,1,1,525
66,8,2,526
66,6,2,527
66,7,1,528
67,2,2,529
67,3,1,530
67,5,1,531
67,4,1,532
67,1,1,533
67,8,1,534
67,6,1,535
67,7,2,536
68,2,2,537
68,3,1,538
68,5,3,539
68,4,2,540
68,1,2,541
68,8,1,542
68,6,3,543
68,7,1,544
69,2,2,545
69,3,2,546
69,5,2,547
69,4,2,548
69,1,2,549
69,8,2,550
69,6,2,551
69,7,2,552
70,2,2,553
70,3,1,554
70,5,1,555
70,4,2,556
70,1,1,557
70,8,2,558
70,6,1,559
70,7,1,560
71,2,1,561
71,3,3,562
71,5,2,563
71,4,2,564
71,1,1,565
71,8,2,566
71,6,2,567
71,7,2,568
72,2,1,569
72,3,1,570
72,5,3,571
72,4,2,572
72,1,1,573
72,8,1,574
72,6,2,575
72,7,1,576
73,2,2,577
73,3,1,578
73,5,2,579
73,4,1,580
73,1,1,581
73,8,2,582
73,6,2,583
73,7,2,584
74,2,3,585
74,3,2,586
74,5,3,587
74,4,3,588
74,1,2,589
74,8,2,590
74,6,3,591
74,7,2,592
75,2,3,593
75,3,2,594
75,5,3,595
75,4,2,596
75,1,3,597
75,8,2,598
75,6,2,599
75,7,2,600
76,2,1,601
76,3,2,602
76,5,1,603
76,4,1,604
76,1,1,605
76,8,1,606
76,6,1,607
76,7,2,608
77,2,1,609
77,3,1,610
77,5,1,611
77,4,2,612
77,1,1,613
77,8,2,614
77,6,2,615
77,7,1,616
78,2,2,617
78,3,1,618
78,5,1,619
78,4,1,620
78,1,1,621
78,8,1,622
78,6,1,623
78,7,1,624
79,2,2,625
79,3,1,626
79,5,1,627
79,4,1,628
79,1,1,629
79,8,1,630
79,6,1,631
79,7,1,632
80,2,1,633
80,3,1,634
80,5,1,635
80,4,1,636
80,1,1,637
80,8,2,638
80,6,1,639
80,7,1,640
81,2,2,641
81,3,1,642
81,5,1,643
81,4,1,644
81,1,1,645
81,8,1,646
81,6,1,647
81,7,1,648
82,2,2,649
82,3,1,650
82,5,2,651
82,4,1,652
82,1,1,653
82,8,2,654
82,6,1,655
82,7,1,656
83,2,2,657
83,3,2,658
83,5,2,659
83,4,2,660
83,1,1,661
83,8,3,662
83,6,3,663
83,7,2,664
84,2,2,665
84,3,1,666
84,5,2,667
84,4,1,668
84,1,1,669
84,8,2,670
84,6,2,671
84,7,1,672
85,2,2,673
85,3,1,674
85,5,1,675
85,4,1,676
85,1,2,677
85,8,2,678
85,6,2,679
85,7,1,680
86,2,2,681
86,3,2,682
86,5,1,683
86,4,1,684
86,1,1,685
86,8,2,686
86,6,1,687
86,7,1,688
87,2,2,689
87,3,1,690
87,5,2,691
87,4,2,692
87,1,2,693
87,8,2,694
87,6,1,695
87,7,1,696
88,2,1,697
88,3,2,698
88,5,2,699
88,4,2,700
88,1,1,701
88,8,1,702
88,6,1,703
88,7,2,704
89,2,2,705
89,3,2,706
89,5,2,707
89,4,2,708
89,1,1,709
89,8,1,710
89,6,2,711
89,7,2,712
90,2,1,713
90,3,2,714
90,5,2,715
90,4,1,716
90,1,1,717
90,8,2,718
90,6,2,719
90,7,1,720
91,2,1,721
91,3,1,722
91,5,1,723
91,4,1,724
91,1,1,725
91,8,2,726
91,6,2,727
91,7,1,728
92,2,1,729
92,3,1,730
92,5,2,731
92,4,2,732
92,1,2,733
92,8,1,734
92,6,3,735
92,7,2,736
93,2,1,737
93,3,1,738
93,5,1,739
93,4,1,740
93,1,1,741
93,8,1,742
93,6,1,743
93,7,1,744
94,2,1,745
94,3,1,746
94,5,1,747
94,4,1,748
94,1,1,749
94,8,1,750
94,6,1,751
94,7,1,752
95,2,1,753
95,3,1,754
95,5,1,755
95,4,1,756
95,1,2,757
95,8,1,758
95,6,1,759
95,7,1,760
96,2,1,761
96,3,2,762
96,5,1,763
96,4,1,764
96,1,2,765
96,8,1,766
96,6,1,767
96,7,1,768
97,2,1,769
97,3,1,770
97,5,1,771
97,4,1,772
97,1,1,773
97,8,1,774
97,6,2,775
97,7,1,776
98,2,1,777
98,3,1,778
98,5,2,779
98,4,1,780
98,1,2,781
98,8,1,782
98,6,2,783
98,7,1,784
99,2,2,785
99,3,1,786
99,5,2,787
99,4,2,788
99,1,2,789
99,8,2,790
99,6,3,791
99,7,1,792
100,2,2,793
100,3,1,794
100,5,2,795
100,4,1,796
100,1,2,797
100,8,1,798
100,6,1,799
100,7,2,800
101,2,1,801
101,3,1,802
101,5,2,803
101,4,2,804
101,1,2,805
101,8,2,806
101,6,2,807
101,7,2,808
102,2,1,809
102,3,2,810
102,5,1,811
102,4,1,812
102,1,1,813
102,8,2,814
102,6,1,815
102,7,1,816
103,2,1,817
103,3,1,818
103,5,1,819
103,4,1,820
103,1,1,821
103,8,1,822
103,6,1,823
103,7,1,824
104,2,2,825
104,3,1,826
104,5,1,827
104,4,1,828
104,1,1,829
104,8,1,830
104,6,1,831
104,7,1,832
105,2,2,833
105,3,2,834
105,5,2,835
105,4,2,836
105,1,2,837
105,8,2,838
105,6,3,839
105,7,1,840
106,2,1,841
106,3,1,842
106,5,1,843
106,4,1,844
106,1,1,845
106,8,2,846
106,6,1,847
106,7,1,848
107,2,2,849
107,3,1,850
107,5,1,851
107,4,1,852
107,1,2,853
107,8,2,854
107,6,1,855
107,7,1,856
108,2,3,857
108,3,1,858
108,5,2,859
108,4,2,860
108,1,2,861
108,8,1,862
108,6,2,863
108,7,1,864
109,2,2,865
109,3,1,866
109,5,1,867
109,4,1,868
109,1,1,869
109,8,1,870
109,6,1,871
109,7,1,872
110,2,1,873
110,3,1,874
110,5,1,875
110,4,1,876
110,1,1,877
110,8,1,878
110,6,1,879
110,7,1,880
111,2,2,881
111,3,3,882
111,5,2,883
111,4,2,884
111,1,2,885
111,8,1,886
111,6,2,887
111,7,1,888
112,2,1,889
112,3,3,890
112,5,2,891
112,4,2,892
112,1,2,893
112,8,1,894
112,6,3,895
112,7,1,896
113,2,1,897
113,3,1,898
113,5,2,899
113,4,2,900
113,1,1,901
113,8,1,902
113,6,2,903
113,7,1,904
114,2,1,905
114,3,2,906
114,5,2,907
114,4,2,908
114,1,2,909
114,8,1,910
114,6,2,911
114,7,1,912
115,2,2,913
115,3,1,914
115,5,1,915
115,4,2,916
115,1,1,917
115,8,1,918
115,6,1,919
115,7,1,920
116,2,2,921
116,3,1,922
116,5,1,923
116,4,1,924
116,1,1,925
116,8,1,926
116,6,2,927
116,7,1,928
117,2,1,929
117,3,1,930
117,5,1,931
117,4,1,932
117,1,1,933
117,8,1,934
117,6,1,935
117,7,1,936
118,2,2,937
118,3,1,938
118,5,1,939
118,4,1,940
118,1,1,941
118,8,1,942
118,6,1,943
118,7,1,944
119,2,2,945
119,3,3,946
119,5,2,947
119,4,2,948
119,1,2,949
119,8,1,950
119,6,2,951
119,7,2,952
120,2,2,953
120,3,1,954
120,5,2,955
120,4,1,956
120,1,2,957
120,8,1,958
120,6,1,959
120,7,1,960
121,2,1,961
121,3,1,962
121,5,2,963
121,4,1,964
121,1,1,965
121,8,1,966
121,6,1,967
121,7,1,968
122,2,2,969
122,3,1,970
122,5,1,971
122,4,1,972
122,1,1,973
122,8,1,974
122,6,1,975
122,7,1,976
123,2,2,977
123,3,1,978
123,5,1,979
123,4,1,980
123,1,1,981
123,8,1,982
123,6,2,983
123,7,1,984
124,2,1,985
124,3,1,986
124,5,1,987
124,4,1,988
124,1,1,989
124,8,1,990
124,6,2,991
124,7,2,992
125,2,2,993
125,3,2,994
125,5,2,995
125,4,2,996
125,1,1,997
125,8,1,998
125,6,2,999
125,7,2,1000
126,2,2,1001
126,3,1,1002
126,5,2,1003
126,4,1,1004
126,1,1,1005
126,8,1,1006
126,6,2,1007
126,7,2,1008
127,2,1,1009
127,3,1,1010
127,5,1,1011
127,4,1,1012
127,1,1,1013
127,8,1,1014
127,6,1,1015
127,7,1,1016
128,2,1,1017
128,3,1,1018
128,5,1,1019
128,4,1,1020
128,1,1,1021
128,8,1,1022
128,6,1,1023
128,7,1,1024
129,2,2,1025
129,3,1,1026
129,5,1,1027
129,4,1,1028
129,1,1,1029
129,8,1,1030
129,6,1,1031
129,7,1,1032
130,2,2,1033
130,3,1,1034
130,5,1,1035
130,4,1,1036
130,1,1,1037
130,8,1,1038
130,6,1,1039
130,7,1,1040
131,2,3,1041
131,3,1,1042
131,5,2,1043
131,4,1,1044
131,1,2,1045
131,8,2,1046
131,6,2,1047
131,7,2,1048
132,2,2,1049
132,3,1,1050
132,5,2,1051
132,4,1,1052
132,1,1,1053
132,8,1,1054
132,6,2,1055
132,7,1,1056
133,2,2,1057
133,3,1,1058
133,5,1,1059
133,4,1,1060
133,1,1,1061
133,8,2,1062
133,6,1,1063
133,7,1,1064
134,2,1,1065
134,3,1,1066
134,5,1,1067
134,4,2,1068
134,1,1,1069
134,8,1,1070
134,6,2,1071
134,7,1,1072
135,2,2,1073
135,3,3,1074
135,5,3,1075
135,4,2,1076
135,1,3,1077
135,8,2,1078
135,6,3,1079
135,7,2,1080
136,2,1,1081
136,3,1,1082
136,5,1,1083
136,4,1,1084
136,1,1,1085
136,8,1,1086
136,6,2,1087
136,7,1,1088
137,2,1,1089
137,3,1,1090
137,5,1,1091
137,4,2,1092
137,1,2,1093
137,8,2,1094
137,6,2,1095
137,7,1,1096
138,2,1,1097
138,3,1,1098
138,5,1,1099
138,4,1,1100
138,1,2,1101
138,8,1,1102
138,6,2,1103
138,7,1,1104
139,2,2,1105
139,3,1,1106
139,5,2,1107
139,4,1,1108
139,1,1,1109
139,8,1,1110
139,6,2,1111
139,7,2,1112
140,2,1,1113
140,3,1,1114
140,5,1,1115
140,4,1,1116
140,1,1,1117
140,8,1,1118
140,6,1,1119
140,7,1,1120
141,2,1,1121
141,3,1,1122
141,5,1,1123
141,4,1,1124
141,1,2,1125
141,8,1,1126
141,6,2,1127
141,7,2,1128
142,2,2,1129
142,3,1,1130
142,5,2,1131
142,4,1,1132
142,1,1,1133
142,8,2,1134
142,6,2,1135
142,7,2,1136
143,2,1,1137
143,3,1,1138
143,5,1,1139
143,4,1,1140
143,1,1,1141
143,8,1,1142
143,6,1,1143
143,7,1,1144
144,2,1,1145
144,3,1,1146
144,5,1,1147
144,4,1,1148
144,1,1,1149
144,8,1,1150
144,6,1,1151
144,7,1,1152
145,2,1,1153
145,3,2,1154
145,5,2,1155
145,4,1,1156
145,1,2,1157
145,8,1,1158
145,6,2,1159
145,7,1,1160
146,2,2,1161
146,3,2,1162
146,5,2,1163
146,4,2,1164
146,1,2,1165
146,8,1,1166
146,6,1,1167
146,7,2,1168
147,2,1,1169
147,3,1,1170
147,5,1,1171
147,4,1,1172
147,1,1,1173
147,8,1,1174
147,6,2,1175
147,7,2,1176
148,2,1,1177
148,3,1,1178
148,5,2,1179
148,4,2,1180
148,1,1,1181
148,8,1,1182
148,6,2,1183
148,7,2,1184
149,2,3,1185
149,3,3,1186
149,5,3,1187
149,4,3,1188
149,1,3,1189
149,8,3,1190
149,6,3,1191
149,7,2,1192
150,2,2,1193
150,3,2,1194
150,5,2,1195
150,4,2,1196
150,1,1,1197
150,8,1,1198
150,6,2,1199
150,7,2,1200
151,2,2,1201
151,3,1,1202
151,5,1,1203
151,4,2,1204
151,1,2,1205
151,8,1,1206
151,6,1,1207
151,7,2,1208
152,2,3,1209
152,3,2,1210
152,5,3,1211
152,4,2,1212
152,1,2,1213
152,8,2,1214
152,6,3,1215
152,7,2,1216
153,2,1,1217
153,3,2,1218
153,5,2,1219
153,4,2,1220
153,1,2,1221
153,8,2,1222
153,6,2,1223
153,7,2,1224
154,2,2,1225
154,3,2,1226
154,5,2,1227
154,4,1,1228
154,1,1,1229
154,8,1,1230
154,6,2,1231
154,7,1,1232
155,2,2,1233
155,3,2,1234
155,5,2,1235
155,4,2,1236
155,1,2,1237
155,8,1,1238
155,6,2,1239
155,7,1,1240
156,2,1,1241
156,3,1,1242
156,5,1,1243
156,4,1,1244
156,1,1,1245
156,8,1,1246
156,6,1,1247
156,7,1,1248
157,2,1,1249
157,3,1,1250
157,5,1,1251
157,4,1,1252
157,1,1,1253
157,8,1,1254
157,6,1,1255
157,7,1,1256
158,2,2,1257
158,3,1,1258
158,5,2,1259
158,4,2,1260
158,1,2,1261
158,8,2,1262
158,6,2,1263
158,7,2,1264
159,2,2,1265
159,3,1,1266
159,5,1,1267
159,4,1,1268
159,1,1,1269
159,8,1,1270
159,6,1,1271
159,7,1,1272
160,2,2,1273
160,3,1,1274
160,5,1,1275
160,4,1,1276
160,1,1,1277
160,8,1,1278
160,6,1,1279
160,7,1,1280
161,2,2,1281
161,3,1,1282
161,5,1,1283
161,4,2,1284
161,1,2,1285
161,8,1,1286
161,6,1,1287
161,7,1,1288
162,2,3,1289
162,3,2,1290
162,5,2,1291
162,4,2,1292
162,1,2,1293
162,8,2,1294
162,6,2,1295
162,7,2,1296
163,2,3,1297
163,3,1,1298
163,5,3,1299
163,4,2,1300
163,1,2,1301
163,8,3,1302
163,6,2,1303
163,7,1,1304
164,2,1,1305
164,3,1,1306
164,5,1,1307
164,4,1,1308
164,1,1,1309
164,8,1,1310
164,6,1,1311
164,7,1,1312
165,2,2,1313
165,3,2,1314
165,5,2,1315
165,4,3,1316
165,1,2,1317
165,8,2,1318
165,6,2,1319
165,7,1,1320
166,2,2,1321
166,3,2,1322
166,5,2,1323
166,4,2,1324
166,1,1,1325
166,8,1,1326
166,6,1,1327
166,7,1,1328
167,2,1,1329
167,3,1,1330
167,5,1,1331
167,4,1,1332
167,1,1,1333
167,8,1,1334
167,6,1,1335
167,7,1,1336
168,2,2,1337
168,3,1,1338
168,5,2,1339
