경찰서,119안전센터,치안센터,CCTV수,치안,dong_id,치안_점수
0,0,0,36,36,1,2
0,1,0,16,17,2,2
1,0,0,1,2,3,1
0,0,0,0,0,4,1
0,0,0,2,2,5,1
1,0,0,9,10,6,1
0,0,0,0,0,7,1
0,0,0,6,6,8,1
0,0,0,25,25,9,2
0,0,0,17,17,10,2
1,0,0,36,37,11,2
0,0,0,12,12,12,1
0,0,0,10,10,13,1
0,0,0,4,4,14,1
1,0,0,26,27,15,2
0,0,0,0,0,16,1
0,0,0,3,3,17,1
0,0,0,0,0,18,1
0,0,0,11,11,19,1
1,0,0,6,7,20,1
0,0,0,8,8,21,1
0,0,0,2,2,22,1
0,0,0,4,4,23,1
1,0,0,2,3,24,1
0,0,0,0,0,25,1
0,0,0,3,3,26,1
0,0,0,3,3,27,1
0,0,0,3,3,28,1
0,0,0,0,0,29,1
0,0,0,9,9,30,1
0,0,0,3,3,31,1
0,1,0,1,2,32,1
0,0,0,10,10,33,1
0,0,0,0,0,34,1
1,0,0,9,10,35,1
0,0,0,7,7,36,1
0,0,0,10,10,37,1
1,0,0,9,10,38,1
0,0,0,0,0,39,1
0,0,0,18,18,40,2
0,0,0,5,5,41,1
1,0,0,3,4,42,1
0,0,0,3,3,43,1
0,0,0,3,3,44,1
0,0,0,3,3,45,1
0,0,0,9,9,46,1
0,0,0,0,0,47,1
0,0,0,6,6,48,1
0,0,0,25,25,49,2
0,0,0,17,17,50,2
0,1,1,3,5,51,1
0,0,0,6,6,52,1
0,0,0,26,26,53,2
0,0,0,6,6,54,1
0,0,0,6,6,55,1
0,0,0,9,9,56,1
0,0,0,5,5,57,1
0,0,0,4,4,58,1
0,0,0,3,3,59,1
0,0,0,7,7,60,1
0,0,0,2,2,61,1
0,0,0,13,13,62,2
1,0,0,5,6,63,1
1,0,0,26,27,64,2
0,0,0,20,20,65,2
0,1,0,18,19,66,2
0,0,0,38,38,67,2
1,0,0,35,36,68,2
2,0,0,43,45,69,2
1,0,0,55,56,70,2
0,0,0,11,11,71,1
0,0,0,12,12,72,1
0,0,0,62,62,73,2
2,0,0,163,165,74,3
1,1,0,171,173,75,3
0,0,0,7,7,76,1
0,0,0,3,3,77,1
0,0,0,14,14,78,2
0,0,0,13,13,79,2
1,0,0,0,1,80,1
0,0,0,51,51,81,2
0,0,1,33,34,82,2
0,0,0,68,68,83,2
0,0,0,69,69,84,2
1,0,0,18,19,85,2
0,1,0,23,24,86,2
0,0,0,29,29,87,2
0,0,0,4,4,88,1
1,0,0,20,21,89,2
1,0,0,8,9,90,1
0,0,0,12,12,91,1
0,0,0,9,9,92,1
0,0,0,0,0,93,1
0,0,0,2,2,94,1
0,0,0,0,0,95,1
0,0,0,2,2,96,1
0,0,0,6,6,97,1
0,0,0,4,4,98,1
1,0,0,43,44,99,2
0,0,0,19,19,100,2
0,0,0,2,2,101,1
0,0,0,4,4,102,1
0,0,0,12,12,103,1
0,0,0,13,13,104,2
0,0,0,35,35,105,2
0,0,0,0,0,106,1
1,0,0,12,13,107,2
1,0,0,75,76,108,3
0,1,0,13,14,109,2
0,0,0,2,2,110,1
0,0,0,13,13,111,2
0,0,0,5,5,112,1
0,0,0,9,9,113,1
1,0,0,9,10,114,1
0,0,0,14,14,115,2
0,0,0,27,27,116,2
0,0,0,0,0,117,1
0,0,0,26,26,118,2
0,0,1,15,16,119,2
0,0,0,23,23,120,2
0,0,0,6,6,121,1
0,0,0,13,13,122,2
0,0,0,15,15,123,2
1,0,0,3,4,124,1
0,0,0,36,36,125,2
0,0,0,35,35,126,2
0,0,0,2,2,127,1
0,0,0,7,7,128,1
0,0,0,25,25,129,2
0,0,0,41,41,130,2
1,0,0,94,95,131,3
0,0,0,24,24,132,2
0,0,0,32,32,133,2
0,0,0,8,8,134,1
0,0,0,25,25,135,2
0,0,0,11,11,136,1
0,0,0,8,8,137,1
1,0,0,8,9,138,1
0,0,0,14,14,139,2
0,0,0,0,0,140,1
0,0,0,11,11,141,1
1,0,0,17,18,142,2
0,0,0,3,3,143,1
0,0,0,11,11,144,1
0,1,0,3,4,145,1
0,0,0,13,13,146,2
0,0,0,5,5,147,1
0,0,0,1,1,148,1
3,2,2,723,730,149,3
0,0,0,26,26,150,2
0,1,0,12,13,151,2
0,0,0,89,89,152,3
1,0,0,9,10,153,1
0,0,0,26,26,154,2
0,0,0,24,24,155,2
0,0,0,2,2,156,1
0,0,0,2,2,157,1
1,0,0,51,52,158,2
0,0,0,14,14,159,2
0,0,0,27,27,160,2
0,0,0,44,44,161,2
1,1,0,230,232,162,3
0,0,1,212,213,163,3
0,0,0,0,0,164,1
0,0,0,52,52,165,2
0,0,0,22,22,166,2
0,0,0,7,7,167,1
0,0,1,42,43,168,2
0,0,0,111,111,169,3
0,0,0,65,65,170,2
0,0,0,62,62,171,2
0,0,1,54,55,172,2
1,0,0,58,59,173,2
0,0,0,30,30,174,2
0,0,0,43,43,175,2
0,0,0,9,9,176,1
0,0,0,3,3,177,1
0,0,0,35,35,178,2
0,0,0,23,23,179,2
0,0,0,88,88,180,3
0,0,0,9,9,181,1
0,0,0,64,64,182,2
0,0,0,0,0,183,1
0,0,0,9,9,184,1
1,0,0,19,20,185,2
0,1,0,63,64,186,2
0,0,0,8,8,187,1
1,0,0,15,16,188,2
0,0,0,97,97,189,3
0,1,1,155,157,190,3
1,1,0,309,311,191,3
1,0,1,228,230,192,3
0,0,0,55,55,193,2
0,1,0,47,48,194,2
0,0,0,11,11,195,1
0,0,0,14,14,196,2
1,0,0,209,210,197,3
0,0,0,5,5,198,1
0,0,1,208,209,199,3
1,0,0,69,70,200,2
0,1,0,57,58,201,2
0,0,2,276,278,202,3
0,0,0,133,133,203,3
2,1,0,335,338,204,3
1,0,0,125,126,205,3
0,1,0,60,61,206,2
1,0,0,82,83,207,3
0,0,0,95,95,208,3
1,0,1,145,147,209,3
0,0,0,123,123,210,3
0,0,2,296,298,211,3
2,1,0,395,398,212,3
0,0,0,221,221,213,3
1,0,0,196,197,214,3
4,1,0,178,183,215,3
0,1,0,34,35,216,2
1,1,1,149,152,217,3
1,0,0,63,64,218,2
3,0,1,176,180,219,3
1,0,0,53,54,220,2
0,0,0,51,51,221,2
0,0,1,50,51,222,2
1,1,1,228,231,223,3
1,0,0,235,236,224,3
2,1,1,373,377,225,3
1,0,2,319,322,226,3
2,1,2,422,427,227,3
1,1,0,149,151,228,3
1,0,0,122,123,229,3
1,1,1,284,287,230,3
1,0,1,304,306,231,3
4,1,5,1457,1467,232,3
0,0,1,376,377,233,3
1,1,1,412,415,234,3
1,0,0,397,398,235,3
1,1,2,525,529,236,3
1,1,0,192,194,237,3
1,0,0,201,202,238,3
0,0,1,9,10,239,1
1,0,1,112,114,240,3
0,0,0,13,13,241,2
0,0,0,14,14,242,2
0,0,0,5,5,243,1
0,0,0,13,13,244,2
0,0,0,0,0,245,1
0,0,0,17,17,246,2
0,0,0,5,5,247,1
0,0,0,98,98,248,3
0,0,0,40,40,249,2
0,0,1,18,19,250,2
0,1,0,13,14,251,2
0,0,0,13,13,252,2
0,0,0,23,23,253,2
0,0,0,22,22,254,2
0,0,0,28,28,255,2
0,0,0,34,34,256,2
0,0,0,25,25,257,2
0,0,0,24,24,258,2
0,0,0,22,22,259,2
0,0,0,25,25,260,2
0,0,0,20,20,261,2
0,0,0,65,65,262,2
0,0,0,11,11,263,1
0,0,0,6,6,264,1
0,0,1,43,44,265,2
0,0,0,24,24,266,2
0,0,0,9,9,267,1
0,0,0,13,13,268,2
1,0,0,12,13,269,2
2,0,3,676,681,270,3
1,1,2,132,136,271,3
1,1,1,201,204,272,3
1,0,0,235,236,273,3
1,0,0,105,106,274,3
0,1,2,635,638,275,3
1,0,1,339,341,276,3
3,2,3,994,1002,277,3
2,1,0,397,400,278,3
4,1,1,909,915,279,3
0,0,1,155,156,280,3
2,1,0,0,3,281,1
2,2,1,0,5,282,1
2,1,0,2,5,283,1
2,0,0,3,5,284,1
1,1,3,242,247,285,3
1,1,1,342,345,286,3
0,1,1,67,69,287,2
4,2,2,614,622,288,3
2,0,1,141,144,289,3
0,1,1,95,97,290,3
0,1,0,263,264,291,3
1,0,2,473,476,292,3
1,0,1,423,425,293,3
0,0,1,204,205,294,3
1,0,0,196,197,295,3
2,0,1,550,553,296,3
1,1,1,289,292,297,3
2,0,1,800,803,298,3
0,0,1,168,169,299,3
1,1,2,301,305,300,3
0,0,0,11,11,301,1
0,0,0,71,71,302,3
0,0,0,0,0,303,1
0,0,0,2,2,304,1
0,0,0,8,8,305,1
0,0,0,42,42,306,2
1,0,0,8,9,307,1
0,0,0,4,4,308,1
0,0,0,54,54,309,2
0,1,1,249,251,310,3
1,0,0,459,460,311,3
1,0,0,62,63,312,2
0,0,0,33,33,313,2
0,0,1,12,13,314,2
0,0,0,13,13,315,2
0,0,1,178,179,316,3
1,1,0,500,502,317,3
2,1,0,573,576,318,3
1,1,0,411,413,319,3
1,0,0,284,285,320,3
0,0,1,5,6,321,1
1,1,0,0,2,322,1
0,0,0,0,0,323,1
0,0,1,0,1,324,1
1,0,0,0,1,325,1
0,0,0,0,0,326,1
0,0,0,0,0,327,1
0,0,1,0,1,328,1
0,1,0,0,1,329,1
0,0,1,0,1,330,1
0,1,0,0,1,331,1
0,0,0,0,0,332,1
0,0,0,0,0,333,1
1,0,0,0,1,334,1
0,0,0,0,0,335,1
0,0,0,0,0,336,1
3,2,2,2321,2328,337,3
0,0,0,0,0,338,1
1,1,1,0,3,339,1
0,0,1,0,1,340,1
0,0,0,0,0,341,1
1,0,1,0,2,342,1
1,0,0,0,1,343,1
1,1,0,0,2,344,1
0,0,0,0,0,345,1
1,1,0,0,2,346,1
2,2,3,2348,2355,347,3
3,1,2,2707,2713,348,3
1,0,0,78,79,349,3
2,1,0,194,197,350,3
4,1,1,1282,1288,351,3
0,0,0,85,85,352,3
0,1,0,27,28,353,2
1,1,0,156,158,354,3
0,0,0,3,3,355,1
0,0,0,114,114,356,3
2,1,0,305,308,357,3
0,1,1,76,78,358,3
0,0,0,0,0,359,1
0,0,0,0,0,360,1
0,0,0,0,0,361,1
0,1,2,106,109,362,3
3,2,2,1106,1113,363,3
1,0,0,326,327,364,3
1,2,1,452,456,365,3
1,0,3,558,562,366,3
1,0,0,329,330,367,3
1,1,0,136,138,368,3
0,0,1,104,105,369,3
0,0,0,35,35,370,2
0,0,0,39,39,371,2
1,0,0,257,258,372,3
2,1,3,1386,1392,373,3
2,1,4,1281,1288,374,3
1,0,0,155,156,375,3
0,0,0,8,8,376,1
0,0,1,64,65,377,2
1,0,0,50,51,378,2
0,1,0,34,35,379,2
0,0,0,36,36,380,2
0,0,0,20,20,381,2
0,0,0,30,30,382,2
0,0,0,24,24,383,2
1,1,0,95,97,384,3
0,0,0,79,79,385,3
0,0,0,21,21,386,2
0,0,0,36,36,387,2
0,0,0,40,40,388,2
1,0,0,15,16,389,2
0,1,0,93,94,390,3
0,0,0,27,27,391,2
0,0,1,226,227,392,3
0,0,0,41,41,393,2
0,0,0,44,44,394,2
1,0,0,66,67,395,2
0,0,0,51,51,396,2
0,0,0,26,26,397,2
0,0,0,39,39,398,2
1,0,0,53,54,399,2
0,0,0,47,47,400,2
0,0,0,71,71,401,3
0,0,1,63,64,402,2
0,0,0,45,45,403,2
0,0,0,24,24,404,2
0,0,0,7,7,405,1
2,2,2,1100,1106,406,3
2,0,0,598,600,407,3
0,0,0,8,8,408,1
0,1,0,162,163,409,3
1,2,4,478,485,410,3
0,0,0,52,52,411,2
1,0,0,37,38,412,2
0,0,2,127,129,413,3
0,0,1,14,15,414,2
2,0,2,495,499,415,3
2,0,1,120,123,416,3
1,1,0,206,208,417,3
3,2,5,0,10,418,1
5,2,4,0,11,419,1
1,0,0,0,1,420,1
3,1,3,702,709,421,3
1,1,0,308,310,422,3
1,0,1,79,81,423,3
0,0,0,8,8,424,1
0,0,1,131,132,425,3
2,2,2,293,299,426,3
3,2,0,454,459,427,3
1,0,0,42,43,428,2
0,0,1,15,16,429,2
0,0,0,38,38,430,2
1,1,1,764,767,431,3
1,1,0,637,639,432,3
1,0,1,357,359,433,3
2,1,1,600,604,434,3
2,0,1,561,564,435,3
2,1,0,790,793,436,3
1,0,1,65,67,437,2
1,0,0,66,67,438,2
0,0,0,51,51,439,2
0,1,0,62,63,440,2
1,0,0,291,292,441,3
1,1,1,80,83,442,3
0,0,1,284,285,443,3
1,2,3,293,299,444,3
2,0,0,93,95,445,3
1,0,1,209,211,446,3
0,0,1,215,216,447,3
0,0,1,162,163,448,3
1,0,0,189,190,449,3
1,1,1,258,261,450,3
1,0,1,240,242,451,3
1,0,1,165,167,452,3
1,1,0,263,265,453,3
1,0,0,213,214,454,3
0,0,0,427,427,455,3
1,2,1,283,287,456,3
1,0,2,203,206,457,3
1,1,0,304,306,458,3
1,1,0,205,207,459,3
0,1,1,316,318,460,3
2,0,0,221,223,461,3
1,1,1,482,485,462,3
1,1,1,556,559,463,3
1,1,2,830,834,464,3
1,0,0,62,63,465,2
