지하철역,버스정류소,대중교통,dong_id
0,7,7,1
0,0,0,2
0,1,1,3
0,2,2,4
0,2,2,5
0,4,4,6
1,0,1,7
0,3,3,8
0,1,1,9
0,3,3,10
0,2,2,11
0,0,0,12
0,0,0,13
0,4,4,14
0,10,10,15
0,0,0,16
0,0,0,17
0,0,0,18
1,15,16,19
0,5,5,20
0,3,3,21
0,0,0,22
0,1,1,23
0,0,0,24
0,1,1,25
1,4,5,26
0,2,2,27
0,1,1,28
0,5,5,29
0,5,5,30
0,1,1,31
0,4,4,32
0,0,0,33
0,7,7,34
0,5,5,35
0,2,2,36
0,1,1,37
0,6,6,38
0,2,2,39
0,7,7,40
1,2,3,41
0,1,1,42
0,1,1,43
0,0,0,44
0,1,1,45
0,8,8,46
0,4,4,47
0,6,6,48
0,3,3,49
0,0,0,50
1,1,2,51
0,0,0,52
1,0,1,53
0,1,1,54
0,1,1,55
1,7,8,56
0,2,2,57
0,3,3,58
0,4,4,59
0,1,1,60
0,6,6,61
0,3,3,62
1,7,8,63
1,4,5,64
0,2,2,65
0,15,15,66
0,3,3,67
0,2,2,68
0,11,11,69
0,5,5,70
0,5,5,71
1,2,3,72
0,10,10,73
2,15,17,74
2,18,20,75
0,4,4,76
1,6,7,77
0,1,1,78
0,1,1,79
0,6,6,80
0,4,4,81
0,18,18,82
0,36,36,83
0,9,9,84
0,19,19,85
0,6,6,86
0,5,5,87
0,0,0,88
0,0,0,89
0,5,5,90
1,4,5,91
0,3,3,92
0,2,2,93
0,1,1,94
0,0,0,95
0,0,0,96
0,1,1,97
0,2,2,98
1,5,6,99
0,0,0,100
0,7,7,101
0,6,6,102
0,4,4,103
0,2,2,104
1,8,9,105
0,5,5,106
0,8,8,107
0,3,3,108
0,3,3,109
0,0,0,110
0,2,2,111
1,2,3,112
0,0,0,113
0,0,0,114
0,1,1,115
0,1,1,116
0,0,0,117
0,3,3,118
0,2,2,119
0,1,1,120
0,0,0,121
0,1,1,122
0,1,1,123
0,4,4,124
2,1,3,125
0,0,0,126
0,0,0,127
0,0,0,128
0,3,3,129
0,3,3,130
1,10,11,131
1,0,1,132
1,5,6,133
0,2,2,134
0,8,8,135
0,1,1,136
1,4,5,137
0,2,2,138
1,2,3,139
0,3,3,140
0,0,0,141
2,3,5,142
0,1,1,143
0,0,0,144
0,1,1,145
0,0,0,146
0,0,0,147
0,0,0,148
6,43,49,149
1,2,3,150
0,1,1,151
0,6,6,152
1,4,5,153
1,3,4,154
0,2,2,155
0,3,3,156
0,1,1,157
0,8,8,158
0,0,0,159
0,1,1,160
0,3,3,161
0,19,19,162
0,26,26,163
1,3,4,164
1,9,10,165
0,3,3,166
0,3,3,167
1,6,7,168
0,8,8,169
0,3,3,170
0,10,10,171
0,3,3,172
0,10,10,173
0,5,5,174
0,4,4,175
0,2,2,176
0,4,4,177
0,4,4,178
0,9,9,179
1,14,15,180
0,6,6,181
0,11,11,182
0,6,6,183
0,3,3,184
2,5,7,185
1,11,12,186
0,1,1,187
1,3,4,188
0,22,22,189
0,31,31,190
1,34,35,191
1,39,40,192
0,6,6,193
0,13,13,194
0,0,0,195
0,6,6,196
0,11,11,197
0,5,5,198
1,27,28,199
0,3,3,200
0,4,4,201
1,29,30,202
0,20,20,203
4,69,73,204
0,31,31,205
0,37,37,206
1,18,19,207
0,25,25,208
1,28,29,209
1,44,45,210
1,46,47,211
1,51,52,212
0,12,12,213
3,12,15,214
1,87,88,215
3,11,14,216
2,57,59,217
1,36,37,218
1,57,58,219
3,17,20,220
0,25,25,221
2,10,12,222
1,28,29,223
1,28,29,224
1,48,49,225
0,41,41,226
1,59,60,227
0,24,24,228
0,9,9,229
0,31,31,230
0,37,37,231
3,125,128,232
1,31,32,233
1,42,43,234
1,50,51,235
0,67,67,236
2,69,71,237
0,35,35,238
0,7,7,239
0,46,46,240
0,2,2,241
0,3,3,242
0,2,2,243
0,2,2,244
0,2,2,245
0,2,2,246
0,3,3,247
1,5,6,248
0,13,13,249
0,7,7,250
0,3,3,251
0,5,5,252
0,2,2,253
0,6,6,254
0,0,0,255
1,2,3,256
0,1,1,257
0,4,4,258
0,6,6,259
0,0,0,260
0,1,1,261
1,20,21,262
0,1,1,263
0,1,1,264
0,0,0,265
0,2,2,266
1,4,5,267
0,1,1,268
0,1,1,269
0,133,133,270
1,39,40,271
1,57,58,272
1,54,55,273
1,11,12,274
0,99,99,275
1,30,31,276
2,150,152,277
0,98,98,278
1,144,145,279
0,16,16,280
0,94,94,281
0,78,78,282
2,114,116,283
1,82,83,284
1,106,107,285
4,107,111,286
1,55,56,287
6,191,197,288
1,75,76,289
0,18,18,290
2,23,25,291
1,63,64,292
2,72,74,293
1,34,35,294
2,26,28,295
0,82,82,296
0,51,51,297
4,74,78,298
2,12,14,299
1,61,62,300
0,11,11,301
2,18,20,302
0,0,0,303
0,3,3,304
0,6,6,305
0,8,8,306
0,0,0,307
0,8,8,308
1,15,16,309
0,26,26,310
2,75,77,311
0,12,12,312
0,11,11,313
0,4,4,314
0,2,2,315
0,21,21,316
0,56,56,317
0,97,97,318
0,44,44,319
0,42,42,320
2,22,24,321
2,21,23,322
0,9,9,323
1,38,39,324
0,8,8,325
0,2,2,326
0,2,2,327
1,24,25,328
1,12,13,329
1,14,15,330
0,25,25,331
0,0,0,332
0,5,5,333
1,34,35,334
1,18,19,335
0,4,4,336
3,165,168,337
0,1,1,338
1,58,59,339
1,18,19,340
1,29,30,341
1,53,54,342
0,22,22,343
2,61,63,344
0,8,8,345
0,89,89,346
2,88,90,347
0,80,80,348
0,37,37,349
0,75,75,350
3,189,192,351
0,44,44,352
2,71,73,353
0,47,47,354
0,20,20,355
1,40,41,356
3,76,79,357
0,10,10,358
0,3,3,359
0,2,2,360
0,2,2,361
2,41,43,362
3,154,157,363
0,9,9,364
0,69,69,365
0,87,87,366
0,45,45,367
0,31,31,368
1,15,16,369
1,29,30,370
0,30,30,371
1,105,106,372
0,110,110,373
0,139,139,374
0,14,14,375
1,1,2,376
0,5,5,377
0,6,6,378
0,8,8,379
1,2,3,380
0,3,3,381
0,9,9,382
0,7,7,383
2,58,60,384
0,5,5,385
0,6,6,386
2,5,7,387
0,6,6,388
0,19,19,389
0,5,5,390
1,17,18,391
0,24,24,392
0,3,3,393
0,3,3,394
1,20,21,395
0,2,2,396
0,6,6,397
0,8,8,398
0,10,10,399
1,6,7,400
0,13,13,401
0,8,8,402
0,6,6,403
0,4,4,404
0,6,6,405
1,142,143,406
1,66,67,407
0,0,0,408
0,38,38,409
2,131,133,410
1,16,17,411
0,26,26,412
0,50,50,413
1,16,17,414
5,82,87,415
2,50,52,416
1,41,42,417
2,210,212,418
1,273,274,419
0,6,6,420
3,159,162,421
0,70,70,422
0,38,38,423
0,7,7,424
2,38,40,425
2,81,83,426
5,182,187,427
0,26,26,428
0,13,13,429
0,24,24,430
2,71,73,431
0,76,76,432
1,25,26,433
6,56,62,434
2,66,68,435
3,44,47,436
0,17,17,437
0,34,34,438
0,17,17,439
0,12,12,440
2,41,43,441
1,27,28,442
2,42,44,443
4,42,46,444
4,21,25,445
0,32,32,446
0,19,19,447
2,17,19,448
1,12,13,449
5,61,66,450
1,48,49,451
2,48,50,452
5,45,50,453
2,32,34,454
1,41,42,455
1,28,29,456
2,40,42,457
1,40,41,458
2,59,61,459
1,36,37,460
3,37,40,461
1,29,30,462
1,54,55,463
3,51,54,464
0,49,49,465
